City,HDD,Climate Zone
Abbotsford_BC,5804,5
Calgary_AB,9546,7
Charlottetown_PE,8488,6
Comox_BC,5973,5
Edmonton_AB,10372,7
Estevan_SK,9598,7
Fredericton_NB,8636,6
Ft_St.John_BC,10754,7
Goose_Bay_NF,12056,7
Inuvik_NW,18293,8
Kamloops_BC,6242,5
London_ON,7330,6
Medicine_Hat_AB,8360,6
Montreal_PQ,8294,6
Muskoka_ON,8926,6
N._Battleford_SK,10869,7
North_Bay_ON,9774,7
Ottawa_ON,8383,6
Port_Hardy_BC,6940,5
Prince_George_BC,9442,7
Prince_Rupert_BC,7826,6
Quebec_PQ,9076,7
Regina_SK,10253,7
Resolute_NW,22920,8
Sable_Isl._NS,7132,5
Saint_John_NB,8704,6
Sandspit_BC,6795,5
Sault_Ste._Marie_ON,9191,7
Schefferville_PQ,14935,8
Shearwater_NS,7646,6
Smithers_BC,9678,7
Stephenville_NF,8748,6
Summerside_PE,6239,5
Swift_Current_SK,9570,7
Sydney_NS,8522,6
The_Pas_MB,11751,7
Thunder_Bay_ON,10344,7
Toronto_ON,7331,6
Trenton_ON,7604,6
Vancouver_BC,5710,5
Victoria_BC,5798,5
Whitehorse_YT,12920,8
Windsor_ON,5984,5
Winnipeg_MB,10420,7
Yellowknife_NW,15144,8
